implementation,platform,object,n1,n2,dtype,mean_total_s,std_total_s,mean_kernel_s,mean_transfer_s,mean_peak_mem_mb,n_runs
Numba (multithreaded),Kaggle,vase,1250,5000,float32,2.7140698208999767,0.019383352193589703,,0.0,3343.37890625,10
Numba (multithreaded),Kaggle,vase,1250,5000,float64,3.3359814935999568,0.028933637152259373,,0.0,6204.185546875,10
Numba CUDA,Colab,banana,300,1200,float32,0.07385028840000128,0.004334936342016787,0.00991098190000908,0.06282398749997345,108.8,10
Numba CUDA,Colab,banana,300,1200,float64,0.07375662710000479,0.003342517235470208,0.01749054769999811,0.055237432700005126,108.8,10
Numba CUDA,Colab,banana,625,2500,float32,0.2529864363999309,0.014067914500931337,0.0251975851999759,0.2265104287999633,459.2,10
Numba CUDA,Colab,banana,625,2500,float64,0.29503870850001024,0.011179482866517106,0.043656552699985654,0.2502155677000132,459.2,10
Numba CUDA,Colab,banana,1250,5000,float32,0.9810764167999878,0.0509825504744541,0.1053806187000077,0.8742234139999937,1833.6,10
Numba CUDA,Colab,banana,1250,5000,float64,1.0311039372000095,0.054626771755959175,0.13592156800002608,0.8937917609999999,1834.0,10
Numba CUDA,Colab,apple,300,1200,float32,0.07695569689999499,0.0025529921660487963,0.00850352520000111,0.06710342599999411,134.4,10
Numba CUDA,Colab,apple,300,1200,float64,0.08878229880002092,0.002349255912295907,0.01963427270000006,0.06786787220001986,134.4,10
Numba CUDA,Colab,apple,625,2500,float32,0.3308467870999607,0.023406198971220253,0.031835495199982196,0.29742129179996935,574.4,10
Numba CUDA,Colab,apple,625,2500,float64,0.31110861959997466,0.005237694393824793,0.03732590039998054,0.2723730755000019,574.4,10
Numba CUDA,Colab,apple,1250,5000,float32,1.2407125865999888,0.04583544788779518,0.13174143960000034,1.1070466646999875,2292.8,10
Numba CUDA,Colab,apple,1250,5000,float64,1.269669329099986,0.06287103911999749,0.16859200059999463,1.0993980520000037,2294.0,10
Numba CUDA,Colab,vase,300,1200,float32,0.07955944479999738,0.0031293412227078694,0.01022336880002963,0.06794570769999372,134.4,10
Numba CUDA,Colab,vase,300,1200,float64,0.0921284755999863,0.0025571699141535465,0.019980742200004842,0.07085449259998303,134.4,10
Numba CUDA,Colab,vase,625,2500,float32,0.3093983327000046,0.005970579535224667,0.03149044689998841,0.27629486940002146,574.4,10
Numba CUDA,Colab,vase,625,2500,float64,0.3159317288000011,0.006591033843712798,0.03685675619999525,0.2776934710000091,574.4,10
Numba CUDA,Colab,vase,1250,5000,float32,1.2424382464000019,0.05576284888841099,0.13316545220000076,1.1074390072000029,2292.8,10
Numba CUDA,Colab,vase,1250,5000,float64,1.2785162753000237,0.050789241829267036,0.17309682320001224,1.1036857024000255,2294.0,10
Numba CUDA,Kaggle,banana,300,1200,float32,0.0643052266001177,0.002280503299078569,0.00303922950001827,0.05902239440006261,108.8,10
Numba CUDA,Kaggle,banana,300,1200,float64,0.0627757624000878,0.0018914334208573347,0.00300665480003767,0.05774345270006044,108.8,10
Numba CUDA,Kaggle,banana,625,2500,float32,0.25050686159984253,0.007753017462508839,0.01356555399997884,0.23474978099984573,459.2,10
Numba CUDA,Kaggle,banana,625,2500,float64,0.24844482230000722,0.007232853263992636,0.012740407899900618,0.23363893240002645,459.2,10
Numba CUDA,Kaggle,banana,1250,5000,float32,0.97031307379998,0.01416239298501425,0.05621671429998963,0.9117856502999985,1833.6,10
Numba CUDA,Kaggle,banana,1250,5000,float64,0.9699051688000964,0.01889235709375167,0.05229194049998109,0.9154103862000283,1834.0,10
Numba CUDA,Kaggle,apple,300,1200,float32,0.0771375380001245,0.002187947693777577,0.00383457540001468,0.07071925530003675,134.4,10
Numba CUDA,Kaggle,apple,300,1200,float64,0.0787234292999528,0.0026700766490216636,0.0037646324999968195,0.07248533430001763,134.4,10
Numba CUDA,Kaggle,apple,625,2500,float32,0.31092440219999845,0.008775566523364298,0.016660055900047092,0.29158547939996415,574.4,10
Numba CUDA,Kaggle,apple,625,2500,float64,0.31142664369990597,0.010552640632761873,0.01571062470002283,0.2932040721999328,574.4,10
Numba CUDA,Kaggle,apple,1250,5000,float32,1.2006424556000184,0.01571121446362784,0.06907479279998366,1.1286148388000583,2292.8,10
Numba CUDA,Kaggle,apple,1250,5000,float64,1.2086877178001032,0.026844616891519162,0.06522031750000676,1.140627890199994,2294.0,10
Numba CUDA,Kaggle,vase,300,1200,float32,0.07824110360002118,0.002257007379089172,0.00384825370006179,0.07170070969987127,134.4,10
Numba CUDA,Kaggle,vase,300,1200,float64,0.07856196769998855,0.0024278808032003646,0.00381264319994438,0.07231100650010369,134.4,10
Numba CUDA,Kaggle,vase,625,2500,float32,0.311310986000035,0.007731694556707521,0.016653081000003962,0.2919078357000216,574.4,10
Numba CUDA,Kaggle,vase,625,2500,float64,0.30986796040001535,0.0073834247051287934,0.01575939650001596,0.2914628226000331,574.4,10
