platform,label,dtype,n2,backend,device,Total_Time_mean,Total_Time_std,Curves_Time_mean,Curves_Time_std,Tangents_Time_mean,Tangents_Time_std,Surface_Time_mean,Surface_Time_std,Speedup_vs_Python_CPU
Kaggle,apple,float32,5000,TensorV,CPU,4.996429579,0.031556363,0.026992437,0.001824091,0.007172198,0.000797158,3.758621171,0.021912017,2.0923846167951767
Kaggle,apple,float32,5000,TensorV,GPU,0.083017448,0.00294786,0.04294294,0.00264803,0.010188292,0.00032206,0.013891344,1.54e-05,125.93078493571618
Kaggle,apple,float64,1200,Numba,CPU,0.562189067,0.011210708,0.002796495,0.000295284,0.001822219,9.14e-05,0.545728948,0.011035038,2.7570418636405107
Kaggle,apple,float64,1200,Numba,GPU,0.022731385,0.002635618,0.001919227,5.53e-05,0.001338582,9.4e-05,0.003787501,0.000124155,68.18672918522122
Kaggle,apple,float64,1200,Python,CPU,1.549978793,0.02083396,0.205992951,0.012405882,0.611066111,0.012699893,0.721489562,0.009665368,1.0
Kaggle,apple,float64,1200,TensorV,CPU,0.537470032,0.013644921,0.024008923,0.00280233,0.005402272,0.001874777,0.367506188,0.012521953,2.8838422622975193
Kaggle,apple,float64,1200,TensorV,GPU,0.054066719,0.000661465,0.043057465,0.000688257,0.004541371,0.000380556,0.002181117,6.59e-05,28.66789074069762
Kaggle,apple,float64,2500,Numba,CPU,1.533366947,0.030001086,0.00295746,0.000305146,0.00334801,0.000135234,1.505939416,0.029429727,2.412048206227573
Kaggle,apple,float64,2500,Numba,GPU,0.050220552,0.009306054,0.002175409,8.68e-05,0.002618638,8.97e-05,0.015590104,5.23e-05,73.64624335471262
Kaggle,apple,float64,2500,Python,CPU,3.698554994,0.050159449,0.421220104,0.012943337,1.25674535,0.02072445,1.999459542,0.028100923,1.0
Kaggle,apple,float64,2500,TensorV,CPU,2.391370316,0.033420539,0.025223563,0.001147142,0.005498095,0.000502744,1.767414539,0.032443204,1.5466257857488601
